candidate_id;name;former_names;name_key;name_key_compact;name_key_without_prefix;eni;imo;year_built;length_m;width_m;passengers;operator;home_port;flag;flag_text;article_url;source_revision_id
CAN-F46E3FEF5AA5;Emerald Dawn;;emerald dawn;emeralddawn;emerald dawn;02336091;;2015;135.0;11.45;182;Emerald Waterways;Valletta;MT;Malta;;268617530
CAN-ACFD2079D6EA;Emerald Destiny;;emerald destiny;emeralddestiny;emerald destiny;02336922;;2017;135.0;11.45;182;Emerald Waterways;Valletta;MT;Malta;;268617530
CAN-D9CEEA48AF4C;Emerald Liberté;;emerald liberte;emeraldliberte;emerald liberte;02336675;;2017;135.0;11.45;134;Emerald Waterways;Valletta;MT;Malta;;268617530
CAN-5080280AEB28;Emerald Luna;;emerald luna;emeraldluna;emerald luna;02338885;;2022;135.0;11.45;180;Emerald Waterways;Basel;CH;Schweiz;;268617530
CAN-8A8B74656ABB;Emerald Radiance;;emerald radiance;emeraldradiance;emerald radiance;;;2017;89.0;11.45;112;Emerald Waterways;Valletta;PT;Portugal;;268617530
CAN-A371B35A3B48;Emerald Sky;;emerald sky;emeraldsky;emerald sky;02336545;;2014;135.0;11.45;182;Emerald Waterways;Valletta;MT;Malta;;268617530
CAN-677984D9735D;Emerald Star;;emerald star;emeraldstar;emerald star;02336546;;2014;135.0;11.45;182;Emerald Waterways;Valletta;MT;Malta;;268617530
CAN-C2509D163C4C;Emerald Sun;;emerald sun;emeraldsun;emerald sun;02336090;;2015;135.0;11.45;182;Emerald Waterways;Valletta;MT;Malta;;268617530
CAN-ECD5CB1FA7C5;Emily Brontë;;emily bronte;emilybronte;emily bronte;07002052;;2016;135.0;11.45;176;Scylla (Rivieratravel);Basel;CH;Schweiz;;268617530
CAN-264B5F807E1E;Esmeralda;;esmeralda;esmeralda;esmeralda;;;2014;72.0;12.6;118;Cyan Hotels and Cruises;;;Agypten;;268617530
CAN-B87D732BC292;Esmeralda;;esmeralda;esmeralda;esmeralda;02315764;;1979;90.0;11.24;134;Trans River Line;Rotterdam;NL;Niederlande;;268617530
CAN-A301062E4FE1;Esprit;Vista Prima;esprit;esprit;esprit;07001923;;2010;110.0;11.4;124;Scylla (Tauck Tours);Basel;CH;Schweiz;https://de.wikipedia.org/wiki/Esprit_(Schiff);268617530
CAN-FFE58B9EC940;Excellence Baroness;AmaLegro|Monarch Baronesse;excellence baroness;excellencebaroness;excellence baroness;07001837;;2007;110.0;11.4;150;8. Sanssouci Schiffsgesellschaft (Reisebüro Mittelthurgau);Hamburg;DE;Deutschland;;268617530
CAN-F8C8EC38FA88;Excellence Coral;Swiss Coral;excellence coral;excellencecoral;excellence coral;07001711;;1998;82.0;9.5;90;Swiss Excellence River Cruise;Basel;CH;Schweiz;https://de.wikipedia.org/wiki/Excellence_Coral;268617530
CAN-0F1080F6BA0A;Excellence Countess;;excellence countess;excellencecountess;excellence countess;02338172;;2019;135.0;11.45;178;Swiss Excellence River Cruise;Basel;CH;Schweiz;;268617530
CAN-221C2E737ED1;Excellence Empress;;excellence empress;excellenceempress;excellence empress;02338652;;2019;135.0;11.45;178;Swiss Excellence River Cruise;Basel;CH;Schweiz;;268617530
CAN-4A9950AA17C9;Excellence Pearl;Rembrandt;excellence pearl;excellencepearl;excellence pearl;07001819;;2003;82.5;9.5;82;Swiss Excellence River Cruise;Basel;CH;Schweiz;;268617530
CAN-1AE17617D20A;Excellence Princess;;excellence princess;excellenceprincess;excellence princess;02335839;;2013;135.0;11.45;186;Swiss Excellence River Cruise;Basel;CH;Schweiz;https://de.wikipedia.org/wiki/Excellence_Princess;268617530
CAN-663FFB207F51;Excellence Queen;;excellence queen;excellencequeen;excellence queen;02333632;;2011;110.0;11.4;142;Swiss Excellence River Cruise;Basel;CH;Schweiz;https://de.wikipedia.org/wiki/Excellence_Queen;268617530
CAN-C3BDD7B6FAFC;Excellence Rhône;Excellence;excellence rhone;excellencerhone;excellence rhone;07001833;;2006;110.0;11.45;142;Swiss Excellence River Cruise;Basel;CH;Schweiz;https://de.wikipedia.org/wiki/Excellence_Rh%C3%B4ne;268617530
CAN-119A6EF099BE;Excellence Royal;;excellence royal;excellenceroyal;excellence royal;02332815;;2010;110.0;11.4;144;Royal Cruises AG;Basel;CH;Schweiz;https://de.wikipedia.org/wiki/Excellence_Royal;268617530
CAN-7D54006F75F0;F. Engels;†;f engels;fengels;f engels;;;1956;95.8;14.3;150;;Kaliningrad;;Sowjetunion → Russland;https://de.wikipedia.org/wiki/F._Engels;268617530
CAN-6E75E98599CB;F. I. Panfyorov;;f i panfyorov;fipanfyorov;f i panfyorov;;;1961;95.8;14.3;160;Voyazh;Perm;;Sowjetunion → Russland;https://de.wikipedia.org/wiki/F._I._Panfyorov;268617530
CAN-3F2C9F59EBE8;F. Zholio-Kyuri;;f zholio kyuri;fzholiokyuri;f zholio kyuri;;;1961;95.8;14.3;339;Kama-Reederei;Perm;;Sowjetunion → Russland;;268617530
CAN-7B280DEC9EA3;Farah;;farah;farah;farah;;;2010;72.0;14.2;124;Farah Nile Cruise;;;Agypten;;268617530
CAN-C8ADF104796C;Farida;Al Farida;farida;farida;farida;;;2008;65.0;12.5;84;Sabena Hotels & Cruises;;;Agypten;https://de.wikipedia.org/wiki/Farida;268617530
CAN-6B6E07FFF5E1;Fedor Dostoyevskiy;;fedor dostoyevskiy;fedordostoyevskiy;fedor dostoyevskiy;;8212910;1983;125.0;16.8;300;Kama Two Shipping Company;Perm;;Sowjetunion → Russland;;268617530
CAN-9C9D5FF8D4DE;Fedor Gladkov;;fedor gladkov;fedorgladkov;fedor gladkov;;;1961;95.8;14.3;310;Viktorija;Perm;;Sowjetunion → Russland;;268617530
CAN-DCAF6FECCE30;Felicitas;Martha, Walrus, Sjolec, Lena Magriet, Rijnland;felicitas;felicitas;felicitas;03031004;;1932;37.53;5.39;22;Felicitas Charters;Amsterdam;NL;Niederlande;;268617530
CAN-CBC5EFA636CE;Feliks Dzerzhinskiy;;feliks dzerzhinskiy;feliksdzerzhinskiy;feliks dzerzhinskiy;;;1978;135.75;16.8;400;Vodohod;Nischni Nowgorod;;Sowjetunion → Russland;https://de.wikipedia.org/wiki/Feliks_Dzerzhinskiy;268617530
CAN-54C5AE81E870;Fernao de Magalhaes;;fernao de magalhaes;fernaodemagalhaes;fernao de magalhaes;01823118;;2003;75.0;11.4;142;CroisiEurope;Strasbourg;FR;Frankreich;;268617530
CAN-0AC6856F8FE2;Ferris Flotel;30 Let GDR|Vladimir Arsenyev;ferris flotel;ferrisflotel;ferris flotel;;8031366;1979;125.0;16.7;;;Busan;;Sowjetunion → Russland → Korea Sud;;268617530
CAN-5B708BB3F857;Fidelio;Blue Danube|VistaFidelio;fidelio;fidelio;fidelio;04801210;;1995;110.0;11.02;148;Chervona Ruta;Kiew;UA;Niederlande → Deutschland → Schweiz → Ukraine;https://de.wikipedia.org/wiki/Fidelio_(Schiff);268617530
CAN-988BDA70DE9F;Filia Rheni;Blue Danube III|Viking Danube;filia rheni;filiarheni;filia rheni;04608050;;1999;110.0;11.4;148;Rijfers River Cruises;Arnheim;NL;Deutschland → Niederlande;;268617530
CAN-2731919A646D;Florence;;florence;florence;florence;;8903179;1991;71.5;12.8;84;;;;Agypten;;268617530
CAN-72D4DF8127B3;Florentina;Kieler Sprotte;florentina;florentina;florentina;32108292;;1980;80.0;9.58;90;Thurgau Travel;Prag;CZ;Deutschland → Tschechien;;268617530
CAN-9F216DEAF438;Fluvius;Hilgus 5, Najade, Cornelia, Alpha, WeraMs;fluvius;fluvius;fluvius;02315535;;1960;69.9;5.8;38;KVS-Tours;Zwijndrecht;NL;Niederlande;;268617530
CAN-A04A085F4C2F;Forever Lucky;Konstantin Stanyukovich|Xian Ni;forever lucky;foreverlucky;forever lucky;;8529179;1991;129.1;16.7;258;;Dmitriy Furmanov / 302MK;;Philippinen;https://de.wikipedia.org/wiki/Forever_Lucky;268617530
CAN-5C00221B3BC3;France;;france;france;france;01823029;;2003;110.0;11.4;160;CroisiEurope;Straßburg;FR;Frankreich;;268617530
CAN-B7032DD43E79;Frederic Chopin;;frederic chopin;fredericchopin;frederic chopin;04801240;9272515;2002;82.93;9.5;79;Nicko Cruises;Basel;CH;Deutschland → Schweiz;;268617530
CAN-F313675A9607;Fyodor Shalyapin;Kliment Voroshilov;fyodor shalyapin;fyodorshalyapin;fyodor shalyapin;;;1977;135.75;16.8;400;Vodohod;Nischni Nowgorod;;Sowjetunion → Russland;https://de.wikipedia.org/wiki/Fyodor_Shalyapin;268617530
CAN-394826D9A1FB;G. V. Plekhanov;;g v plekhanov;gvplekhanov;g v plekhanov;;;1959;95.8;14.3;;;Nischni Nowgorod;;Sowjetunion → Russland;;268617530
CAN-5E93DBBD446F;General I. D. Chernyakhovskiy;;general i d chernyakhovskiy;generalidchernyakhovskiy;general i d chernyakhovskiy;;;1960;95.8;14.3;;Kama SK;Perm;;Sowjetunion → Russland;;268617530
CAN-4E5D14EC7EC8;General Lavrinenkov;;general lavrinenkov;generallavrinenkov;general lavrinenkov;;8963595;1990;129.1;16.7;212;Orthodox Cruise Company;Rostow am Don;UA;Sowjetunion → Ukraine → Russland;https://de.wikipedia.org/wiki/Excellence_Katharina;268617530
CAN-C2322ADC9F91;Geoffrey Chaucer;;geoffrey chaucer;geoffreychaucer;geoffrey chaucer;07002119;;2018;135.0;11.45;167;Scylla (Rivieratravel);Basel;CH;Schweiz;;268617530
CAN-64F927AAA824;George Eliot;;george eliot;georgeeliot;george eliot;07002103;;2018;110.0;11.4;132;Scylla (Rivieratravel);Basel;CH;Schweiz;;268617530
CAN-41DD08368FDD;Georgiy Chicherin;;georgiy chicherin;georgiychicherin;georgiy chicherin;;8822507;1988;129.1;16.7;294;Vodohod;Nischni Nowgorod;;Sowjetunion → Russland;https://de.wikipedia.org/wiki/Georgiy_Chicherin;268617530
CAN-2C1ADC236B89;Georgiy Zhukov;;georgiy zhukov;georgiyzhukov;georgiy zhukov;;;1983;135.75;16.8;400;Vodohod;Nischni Nowgorod;;Sowjetunion → Russland;;268617530
CAN-26ADB76DF8C4;Gerard Schmitter;;gerard schmitter;gerardschmitter;gerard schmitter;01831335;;2012;110.0;11.4;176;CroisiEurope;Straßburg;FR;Frankreich;https://de.wikipedia.org/wiki/Gerard_Schmitter;268617530
CAN-6BA6BAF66FC4;Gil Eanes;;gil eanes;gileanes;gil eanes;01840470;;2015;80.0;11.4;132;CroisiEurope;Straßburg;FR;Frankreich;;268617530
CAN-2CA15F166C16;Gleb Krzhizhanovskiy;;gleb krzhizhanovskiy;glebkrzhizhanovskiy;gleb krzhizhanovskiy;;;1990;129.1;16.7;310;;Moskau;;Sowjetunion → Russland;;268617530
